item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12
Cooking Oil,Dals,Coffee Powder,Curd,Chili Powder,Butter,Pickle,Biscuits,Milk,Tomato,,
Bread,Lemon,Brinjal,Milk,Paneer,Cooking Oil,Honey,Yogurt,,,,
Brinjal,Bread,Green Chili,Papaya,Coconut,Bell Peppers,Tea Powder,Butter,Lassi,Banana,,
Pomegranate,Cauliflower,Paneer,Butter,Carrot,Cheese,,,,,,
Garlic,Okra,Coriander,Curd,Jam,,,,,,,
Potato,Coffee Powder,Cooking Oil,Semolina,Lemon,Turmeric Powder,,,,,,
Pickle,Fenugreek Leaves,Lassi,Okra,Rice,Dals,Onions,Cabbage,Orange,Yogurt,,
Garlic,Brinjal,Bread,Carrot,Tomato,Papaya,Apple,Wheat Flour,,,,
Mustard Seeds,Turmeric Powder,Tomato,Orange,Coriander,Tamarind,Jam,Biscuits,,,,
Banana,Honey,Apple,Chili Powder,Tea Powder,Mustard Seeds,Coffee Powder,Fenugreek Leaves,Spinach,Sooji,,
Coffee Powder,Capsicum,Salt,Papaya,Mint Leaves,Coconut,Milk,Honey,Apple,,,
Potato,Spinach,Okra,Bell Peppers,Ginger,Dals,Cooking Oil,Coconut,Mint Leaves,Green Chili,Pomegranate,
Bell Peppers,Spinach,Dals,Carrot,Cooking Oil,Yogurt,,,,,,
Mustard Seeds,Chili Powder,Tomato,Tamarind,Biscuits,Beetroot,Onions,Cumin Seeds,Brinjal,Coffee Powder,,
Potato,Okra,Cheese,Rice,Apple,Milk,Sooji,Honey,Coffee Powder,,,
Mustard Seeds,Jam,Pickle,Guava,Cooking Oil,Milk,Lemon,Rice,Lassi,Mint Leaves,Orange,Ginger
Potato,Okra,Biscuits,Spinach,Cabbage,Milk,Garlic,Yogurt,Rice,Pickle,Cheese,
Guava,Pomegranate,Rice,Dals,Tamarind,Turmeric Powder,Lemon,Fenugreek Leaves,Honey,Cumin Seeds,Pickle,Besan
Salt,Sooji,Orange,Cabbage,Coconut,Dals,Tomato,Semolina,Curd,Apple,Honey,
Curd,Coconut,Sooji,Wheat Flour,Banana,Green Chili,Chili Powder,,,,,
Coffee Powder,Coconut,Bread,Sugar,Tomato,Cauliflower,Beetroot,Tea Powder,Pomegranate,Mango,,
Coconut,Wheat Flour,Orange,Cabbage,Spinach,,,,,,,
Pomegranate,Turmeric Powder,Jam,Semolina,Chili Powder,Rice,Bell Peppers,Paneer,Guava,Cabbage,Carrot,Potato
Honey,Green Chili,Carrot,Semolina,Mustard Seeds,Curd,Mango,Pickle,Sugar,Okra,Wheat Flour,
Mustard Seeds,Guava,Carrot,Dals,Sugar,,,,,,,
Fenugreek Leaves,Bread,Tomato,Capsicum,Chili Powder,Okra,,,,,,
Lemon,Tea Powder,Bell Peppers,Fenugreek Leaves,Ginger,Wheat Flour,Dals,Cheese,,,,
Paneer,Onions,Brinjal,Bread,Semolina,Lassi,Green Chili,Tamarind,Sugar,Biscuits,Cumin Seeds,Tea Powder
Chili Powder,Yogurt,Mango,Bread,Dals,Salt,Banana,Lemon,Mustard Seeds,Pickle,,
Tea Powder,Capsicum,Tamarind,Biscuits,Orange,,,,,,,
Wheat Flour,Cheese,Green Chili,Garlic,Rice,Lemon,Carrot,Mango,Okra,Onions,Orange,
Coriander,Tea Powder,Butter,Dals,Sooji,Mustard Seeds,,,,,,
Lemon,Cheese,Jam,Carrot,Honey,Okra,Dals,Brinjal,Butter,,,
Milk,Coffee Powder,Besan,Spinach,Coconut,,,,,,,
Curd,Jam,Sugar,Salt,Honey,,,,,,,
Mango,Orange,Sugar,Turmeric Powder,Chili Powder,Okra,Sooji,Coconut,Tea Powder,,,
Semolina,Tomato,Besan,Paneer,Cooking Oil,Spinach,Mint Leaves,,,,,
Sooji,Cabbage,Cooking Oil,Brinjal,Spinach,,,,,,,
Paneer,Okra,Brinjal,Mint Leaves,Coconut,,,,,,,
Tamarind,Tomato,Dals,Okra,Yogurt,Papaya,Sooji,Cheese,,,,
Jam,Ginger,Fenugreek Leaves,Wheat Flour,Orange,Tea Powder,Okra,Cabbage,,,,
Butter,Mint Leaves,Brinjal,Milk,Tomato,Paneer,,,,,,
Mango,Paneer,Ginger,Tomato,Chili Powder,Tea Powder,Spinach,Cabbage,Cheese,,,
Onions,Fenugreek Leaves,Cabbage,Rice,Yogurt,Mustard Seeds,Sugar,Ginger,Curd,,,
Curd,Paneer,Tamarind,Beetroot,Capsicum,Brinjal,Honey,Tea Powder,Spinach,,,
Brinjal,Besan,Coffee Powder,Beetroot,Cumin Seeds,Cauliflower,Salt,Mint Leaves,Curd,Pickle,Onions,Carrot
Cheese,Green Chili,Jam,Salt,Sooji,Cooking Oil,Cumin Seeds,Pomegranate,Papaya,,,
Curd,Guava,Coffee Powder,Lemon,Onions,Carrot,Butter,Dals,,,,
Coconut,Tea Powder,Yogurt,Garlic,Wheat Flour,Bread,Curd,Pickle,Banana,Coriander,Tamarind,
Pomegranate,Orange,Ginger,Fenugreek Leaves,Mint Leaves,Pickle,Okra,Papaya,,,,
Sugar,Lemon,Lassi,Cauliflower,Guava,Mustard Seeds,,,,,,
Wheat Flour,Ginger,Papaya,Coffee Powder,Turmeric Powder,Coconut,Cauliflower,Dals,Jam,,,
Beetroot,Banana,Tomato,Okra,Potato,Biscuits,,,,,,
Lassi,Cheese,Cumin Seeds,Curd,Garlic,Spinach,Beetroot,Yogurt,Coriander,,,
Milk,Bread,Dals,Beetroot,Garlic,Cauliflower,,,,,,
Chili Powder,Mint Leaves,Cooking Oil,Milk,Fenugreek Leaves,Sugar,Besan,Papaya,Butter,Bell Peppers,Okra,Sooji
Guava,Carrot,Bell Peppers,Okra,Jam,Apple,Capsicum,Onions,Brinjal,Turmeric Powder,Cooking Oil,
Fenugreek Leaves,Okra,Sugar,Spinach,Papaya,Rice,Garlic,Chili Powder,Cauliflower,Mint Leaves,,
Beetroot,Rice,Coffee Powder,Chili Powder,Bread,Biscuits,,,,,,
Garlic,Carrot,Sooji,Fenugreek Leaves,Mint Leaves,Semolina,Spinach,,,,,
Beetroot,Potato,Yogurt,Jam,Pomegranate,Salt,Rice,Papaya,Biscuits,Banana,Cauliflower,
Sugar,Cooking Oil,Cauliflower,Pomegranate,Bell Peppers,,,,,,,
Okra,Papaya,Beetroot,Yogurt,Chili Powder,Paneer,,,,,,
Tomato,Sugar,Banana,Okra,Pomegranate,Biscuits,Green Chili,Jam,Tea Powder,,,
Cumin Seeds,Bell Peppers,Mango,Cheese,Apple,Cauliflower,,,,,,
Orange,Cabbage,Ginger,Fenugreek Leaves,Lassi,Tomato,Cumin Seeds,Mint Leaves,Pickle,Mango,,
Lassi,Tea Powder,Coriander,Onions,Wheat Flour,Brinjal,Biscuits,Capsicum,Mango,Okra,,
Green Chili,Potato,Mustard Seeds,Tomato,Yogurt,,,,,,,
Fenugreek Leaves,Okra,Apple,Green Chili,Wheat Flour,Biscuits,Mint Leaves,Spinach,Cauliflower,,,
Butter,Cumin Seeds,Semolina,Garlic,Paneer,Bread,Chili Powder,Salt,Ginger,Sooji,Pomegranate,
Mango,Lassi,Coffee Powder,Curd,Coriander,,,,,,,
Onions,Yogurt,Green Chili,Cumin Seeds,Orange,Turmeric Powder,Banana,,,,,
Pickle,Curd,Cumin Seeds,Brinjal,Milk,Cauliflower,Wheat Flour,,,,,
Cooking Oil,Curd,Mint Leaves,Carrot,Green Chili,Okra,Chili Powder,,,,,
Onions,Mustard Seeds,Lassi,Garlic,Honey,Biscuits,Dals,Capsicum,Sooji,Mint Leaves,Turmeric Powder,Chili Powder
Bread,Potato,Tea Powder,Papaya,Turmeric Powder,,,,,,,
Honey,Beetroot,Tamarind,Chili Powder,Orange,,,,,,,
Semolina,Rice,Bell Peppers,Yogurt,Beetroot,Turmeric Powder,Honey,,,,,
Papaya,Potato,Coconut,Milk,Dals,Cauliflower,Okra,Carrot,,,,
Butter,Biscuits,Sugar,Mint Leaves,Cabbage,Salt,Wheat Flour,Orange,Ginger,Sooji,,
Green Chili,Lassi,Bread,Carrot,Fenugreek Leaves,Mustard Seeds,Cheese,Pomegranate,Brinjal,Papaya,Coconut,
Cumin Seeds,Coffee Powder,Onions,Pomegranate,Mango,Semolina,,,,,,
Potato,Banana,Rice,Bell Peppers,Besan,Coriander,Cauliflower,Chili Powder,Wheat Flour,Pickle,Paneer,Pomegranate
Onions,Cooking Oil,Salt,Carrot,Coffee Powder,Sooji,Pomegranate,Honey,Coconut,Wheat Flour,,
Lassi,Orange,Coffee Powder,Tomato,Turmeric Powder,,,,,,,
Mint Leaves,Butter,Coriander,Chili Powder,Carrot,Bread,Paneer,Mustard Seeds,,,,
Sooji,Potato,Semolina,Onions,Pickle,Biscuits,Dals,Ginger,Guava,Honey,Banana,
Tea Powder,Sooji,Pickle,Yogurt,Jam,Apple,Potato,Spinach,Mustard Seeds,Banana,Paneer,Guava
Okra,Spinach,Tomato,Mint Leaves,Brinjal,Coffee Powder,Sugar,Jam,,,,
Besan,Wheat Flour,Spinach,Garlic,Mango,Jam,Beetroot,Turmeric Powder,Dals,Rice,,
Turmeric Powder,Jam,Mint Leaves,Milk,Fenugreek Leaves,Apple,Potato,Lemon,Capsicum,Banana,Rice,
Fenugreek Leaves,Brinjal,Besan,Coconut,Green Chili,,,,,,,
Sooji,Orange,Salt,Wheat Flour,Coffee Powder,Dals,Okra,Spinach,Bell Peppers,,,
Tamarind,Coconut,Coriander,Garlic,Cheese,Lassi,Orange,,,,,
Semolina,Pickle,Chili Powder,Mint Leaves,Coffee Powder,Bread,Lassi,Okra,Cooking Oil,Onions,Sooji,
Okra,Guava,Tea Powder,Mango,Cumin Seeds,Salt,Cheese,Mustard Seeds,,,,
Bell Peppers,Mango,Carrot,Beetroot,Spinach,Potato,Wheat Flour,,,,,
Orange,Curd,Beetroot,Spinach,Biscuits,Garlic,Onions,Coconut,Coriander,Ginger,Paneer,Milk
Butter,Potato,Fenugreek Leaves,Chili Powder,Mint Leaves,Sooji,Tomato,Cheese,,,,
Potato,Turmeric Powder,Rice,Sooji,Banana,Green Chili,,,,,,
Tomato,Apple,Dals,Green Chili,Lemon,Sooji,Coffee Powder,,,,,
Milk,Wheat Flour,Coconut,Garlic,Mustard Seeds,,,,,,,
Pickle,Cheese,Yogurt,Spinach,Cumin Seeds,Mint Leaves,,,,,,
Coffee Powder,Mango,Fenugreek Leaves,Lemon,Banana,Beetroot,Curd,Pomegranate,Orange,Potato,Jam,Green Chili
Turmeric Powder,Beetroot,Lemon,Paneer,Onions,Milk,Apple,Coriander,Spinach,Mango,Sugar,
Papaya,Green Chili,Coconut,Ginger,Mustard Seeds,Coffee Powder,Beetroot,Salt,Bell Peppers,Fenugreek Leaves,Honey,
Honey,Garlic,Orange,Pickle,Cumin Seeds,Tea Powder,Besan,Carrot,Coffee Powder,Tamarind,Cooking Oil,Rice
Wheat Flour,Capsicum,Tea Powder,Lassi,Bread,Cauliflower,Brinjal,Beetroot,Spinach,,,
Coconut,Pomegranate,Ginger,Sugar,Dals,Lemon,Tea Powder,Cumin Seeds,Coriander,,,
Capsicum,Pickle,Lassi,Banana,Brinjal,Cheese,,,,,,
Tamarind,Pickle,Turmeric Powder,Sugar,Bell Peppers,Ginger,Jam,Lassi,Besan,Carrot,Fenugreek Leaves,Guava
Bell Peppers,Sugar,Tea Powder,Cooking Oil,Salt,Coffee Powder,Ginger,Spinach,Okra,Brinjal,,
Cheese,Curd,Apple,Paneer,Bread,Cabbage,Ginger,,,,,
Butter,Tea Powder,Carrot,Cheese,Pomegranate,,,,,,,
Capsicum,Guava,Milk,Butter,Carrot,Tomato,Banana,,,,,
Orange,Apple,Onions,Pomegranate,Brinjal,Chili Powder,Sooji,Mango,Yogurt,,,
Sugar,Milk,Garlic,Paneer,Rice,Lassi,Honey,Wheat Flour,Brinjal,Onions,Carrot,
Coconut,Jam,Apple,Turmeric Powder,Guava,Ginger,Onions,Banana,Tomato,Coriander,Mustard Seeds,
Mustard Seeds,Bell Peppers,Paneer,Apple,Coriander,Banana,Cabbage,Onions,Turmeric Powder,Yogurt,,
Cauliflower,Cheese,Biscuits,Tamarind,Butter,Curd,Capsicum,,,,,
Wheat Flour,Guava,Capsicum,Cumin Seeds,Semolina,Turmeric Powder,Banana,Dals,Bread,Carrot,,
Ginger,Spinach,Curd,Dals,Mango,Beetroot,Coconut,Bread,,,,
Cooking Oil,Capsicum,Honey,Salt,Coconut,Tea Powder,Pickle,Beetroot,Garlic,Milk,Jam,Tamarind
Milk,Mustard Seeds,Bell Peppers,Besan,Orange,Garlic,Jam,Butter,Tomato,,,
Yogurt,Sooji,Bread,Biscuits,Banana,Coffee Powder,Salt,Cooking Oil,Garlic,Guava,Potato,Semolina
Okra,Mustard Seeds,Yogurt,Chili Powder,Paneer,Jam,Turmeric Powder,,,,,
Cauliflower,Green Chili,Butter,Coffee Powder,Tamarind,Bell Peppers,Brinjal,Mango,,,,
Turmeric Powder,Okra,Curd,Brinjal,Mint Leaves,Bell Peppers,Cauliflower,Potato,Coffee Powder,,,
Yogurt,Ginger,Coffee Powder,Spinach,Wheat Flour,Besan,Green Chili,Mango,Bread,,,
Coconut,Salt,Bell Peppers,Capsicum,Tomato,,,,,,,
Apple,Cumin Seeds,Biscuits,Yogurt,Lemon,Banana,Coriander,Spinach,,,,
Yogurt,Tea Powder,Pomegranate,Butter,Mint Leaves,,,,,,,
Wheat Flour,Rice,Banana,Salt,Apple,Pickle,Potato,Lassi,,,,
Bell Peppers,Capsicum,Biscuits,Okra,Jam,Lemon,Lassi,,,,,
Butter,Yogurt,Cooking Oil,Milk,Green Chili,Orange,Banana,Coriander,Garlic,Wheat Flour,Coffee Powder,
Mango,Beetroot,Biscuits,Bell Peppers,Curd,Garlic,Besan,Okra,Papaya,,,
Sooji,Chili Powder,Coriander,Paneer,Capsicum,Carrot,Yogurt,Milk,Garlic,Apple,,
Apple,Paneer,Brinjal,Carrot,Banana,Garlic,Orange,Curd,Guava,Pickle,,
Coriander,Onions,Beetroot,Tamarind,Pickle,,,,,,,
Cabbage,Tamarind,Semolina,Garlic,Tea Powder,Mint Leaves,,,,,,
Capsicum,Cooking Oil,Yogurt,Bell Peppers,Onions,Carrot,Cheese,Biscuits,,,,
Green Chili,Sooji,Honey,Banana,Jam,Tamarind,Cheese,Curd,Capsicum,,,
Cabbage,Sooji,Green Chili,Carrot,Rice,Butter,Papaya,Okra,Pickle,Orange,Cooking Oil,Garlic
Tamarind,Honey,Papaya,Milk,Mint Leaves,,,,,,,
Papaya,Mint Leaves,Coffee Powder,Cabbage,Coriander,Cooking Oil,Honey,Bell Peppers,Green Chili,Capsicum,,
Paneer,Apple,Cooking Oil,Papaya,Chili Powder,Cheese,Lemon,Orange,Semolina,Beetroot,Cauliflower,Sugar
Cooking Oil,Mint Leaves,Carrot,Yogurt,Potato,Mango,Chili Powder,,,,,
Coriander,Sooji,Chili Powder,Potato,Tamarind,Pickle,Besan,Bread,Garlic,Butter,Ginger,
Lassi,Okra,Green Chili,Wheat Flour,Coriander,Mustard Seeds,Cauliflower,Sooji,,,,
Mustard Seeds,Dals,Green Chili,Paneer,Cabbage,,,,,,,
Milk,Semolina,Jam,Tomato,Beetroot,Carrot,Garlic,Biscuits,Lemon,,,
Lemon,Apple,Bell Peppers,Mustard Seeds,Cheese,Honey,Cumin Seeds,Coffee Powder,Garlic,Jam,Capsicum,Carrot
Butter,Yogurt,Rice,Bread,Cumin Seeds,Chili Powder,,,,,,
Yogurt,Ginger,Rice,Besan,Beetroot,Spinach,Sooji,Papaya,Tomato,Cabbage,,
Mint Leaves,Carrot,Potato,Brinjal,Biscuits,Salt,Beetroot,Jam,,,,
Pickle,Mango,Orange,Bread,Biscuits,Butter,Cabbage,Mint Leaves,Coconut,,,
Mango,Cauliflower,Sugar,Pickle,Tamarind,Dals,Orange,Lassi,Tomato,Green Chili,Coffee Powder,Semolina
Pickle,Dals,Carrot,Coffee Powder,Chili Powder,Capsicum,Cheese,,,,,
Turmeric Powder,Tamarind,Coriander,Salt,Lemon,Banana,Yogurt,Mint Leaves,Cauliflower,Garlic,Bell Peppers,Pomegranate
Dals,Tomato,Wheat Flour,Green Chili,Papaya,,,,,,,
Semolina,Besan,Milk,Cauliflower,Cumin Seeds,Tamarind,Banana,Paneer,Mango,Carrot,Pomegranate,Beetroot
Bell Peppers,Potato,Turmeric Powder,Besan,Sugar,Mustard Seeds,Cabbage,Rice,Coconut,,,
Spinach,Rice,Banana,Papaya,Cheese,Ginger,Turmeric Powder,Jam,Cauliflower,Pomegranate,Onions,Coffee Powder
Banana,Guava,Cumin Seeds,Carrot,Onions,Apple,Tea Powder,Pickle,Green Chili,Capsicum,,
Dals,Potato,Cooking Oil,Brinjal,Tomato,Orange,Lemon,,,,,
Sugar,Banana,Tomato,Semolina,Bell Peppers,Sooji,Cooking Oil,Cauliflower,Mint Leaves,,,
Rice,Potato,Cheese,Coffee Powder,Mustard Seeds,Ginger,Lassi,Turmeric Powder,Biscuits,Besan,,
Beetroot,Butter,Banana,Lemon,Cumin Seeds,,,,,,,
Bell Peppers,Sugar,Paneer,Onions,Pickle,Cauliflower,Rice,Apple,Orange,,,
Biscuits,Ginger,Banana,Brinjal,Lemon,Coriander,Capsicum,Mustard Seeds,,,,
Papaya,Wheat Flour,Rice,Curd,Coconut,Apple,Lassi,Coriander,Mango,Sooji,,
Okra,Coconut,Cooking Oil,Potato,Banana,Carrot,Orange,,,,,
Garlic,Bread,Potato,Onions,Mustard Seeds,,,,,,,
Brinjal,Green Chili,Yogurt,Garlic,Semolina,Biscuits,Cheese,Cabbage,,,,
Lassi,Banana,Mint Leaves,Honey,Tomato,Carrot,Sugar,Onions,Coconut,,,
Biscuits,Coconut,Guava,Brinjal,Salt,,,,,,,
Lemon,Pomegranate,Orange,Ginger,Honey,Green Chili,Apple,Rice,Tamarind,Cauliflower,Yogurt,Beetroot
Biscuits,Honey,Milk,Beetroot,Orange,Butter,Besan,Guava,,,,
Coffee Powder,Cumin Seeds,Rice,Mango,Carrot,Cauliflower,Coriander,Turmeric Powder,Honey,Besan,Apple,
Paneer,Cauliflower,Lassi,Honey,Salt,Apple,Sooji,Jam,Tomato,,,
Pickle,Honey,Tomato,Sugar,Capsicum,Chili Powder,,,,,,
Capsicum,Green Chili,Apple,Spinach,Brinjal,Tomato,Salt,Cabbage,Guava,Curd,Pickle,
Chili Powder,Lemon,Tomato,Pomegranate,Capsicum,Tea Powder,Salt,Yogurt,Mango,Butter,Fenugreek Leaves,
Tea Powder,Biscuits,Cabbage,Papaya,Rice,Apple,Coconut,Coffee Powder,Guava,,,
Turmeric Powder,Ginger,Coriander,Semolina,Capsicum,Brinjal,Bread,,,,,
Semolina,Ginger,Beetroot,Dals,Salt,Curd,Cheese,Fenugreek Leaves,Cooking Oil,Turmeric Powder,,
Spinach,Biscuits,Cooking Oil,Potato,Wheat Flour,Lassi,,,,,,
Honey,Butter,Bell Peppers,Turmeric Powder,Papaya,Besan,Tamarind,,,,,
Salt,Beetroot,Dals,Cooking Oil,Brinjal,Tea Powder,Garlic,Fenugreek Leaves,Rice,Carrot,,
Papaya,Mustard Seeds,Lassi,Cabbage,Lemon,Biscuits,Yogurt,Garlic,Salt,Capsicum,Bell Peppers,
Cabbage,Semolina,Lemon,Chili Powder,Beetroot,Honey,Okra,,,,,
Dals,Sugar,Pickle,Semolina,Coriander,Mango,Cabbage,Paneer,Coconut,,,
Coffee Powder,Mustard Seeds,Cheese,Sooji,Spinach,Carrot,Salt,,,,,
Curd,Coconut,Chili Powder,Pomegranate,Bell Peppers,Bread,Ginger,,,,,
Green Chili,Fenugreek Leaves,Bread,Cauliflower,Tea Powder,,,,,,,
Capsicum,Wheat Flour,Semolina,Mango,Carrot,Dals,Honey,Fenugreek Leaves,Turmeric Powder,Biscuits,,
Semolina,Papaya,Lassi,Garlic,Cauliflower,,,,,,,
Bell Peppers,Besan,Tomato,Tamarind,Carrot,,,,,,,
Lassi,Onions,Milk,Green Chili,Potato,Pomegranate,Mint Leaves,Coffee Powder,Beetroot,Cabbage,Coriander,
Tomato,Wheat Flour,Semolina,Coriander,Lemon,Mango,Tea Powder,Cooking Oil,Onions,,,
Curd,Cheese,Pomegranate,Cauliflower,Milk,Papaya,Coffee Powder,Turmeric Powder,Lassi,,,
Biscuits,Besan,Chili Powder,Spinach,Yogurt,Tomato,Cauliflower,Brinjal,Bread,,,
Tamarind,Pomegranate,Cumin Seeds,Milk,Tea Powder,Guava,Biscuits,Coconut,Salt,Spinach,,
Spinach,Coriander,Besan,Honey,Pickle,,,,,,,
Cauliflower,Sooji,Apple,Banana,Cheese,Orange,,,,,,
Salt,Cauliflower,Coconut,Chili Powder,Curd,Onions,,,,,,
Mango,Cumin Seeds,Orange,Cheese,Honey,,,,,,,
Chili Powder,Coriander,Dals,Brinjal,Capsicum,,,,,,,
Semolina,Chili Powder,Coriander,Wheat Flour,Fenugreek Leaves,Cumin Seeds,Papaya,Banana,Dals,Apple,Biscuits,Coconut
Cabbage,Turmeric Powder,Rice,Coriander,Curd,Pickle,Salt,Yogurt,Butter,Besan,Okra,Banana
Tomato,Mustard Seeds,Cauliflower,Apple,Carrot,,,,,,,
Banana,Lassi,Guava,Milk,Capsicum,Brinjal,Bread,Coffee Powder,Curd,Semolina,Sooji,Tea Powder
Cooking Oil,Carrot,Jam,Papaya,Pomegranate,Spinach,Chili Powder,Okra,Semolina,Mango,,
Milk,Carrot,Turmeric Powder,Rice,Papaya,Spinach,Fenugreek Leaves,Mint Leaves,Guava,,,
Bread,Semolina,Jam,Carrot,Tea Powder,Dals,,,,,,
Potato,Apple,Capsicum,Pomegranate,Butter,Tomato,Salt,Fenugreek Leaves,Turmeric Powder,Guava,,
Dals,Pickle,Curd,Yogurt,Biscuits,Cheese,,,,,,
Chili Powder,Capsicum,Dals,Yogurt,Tea Powder,Okra,Besan,Guava,Paneer,Garlic,Potato,Cooking Oil
Milk,Ginger,Tea Powder,Chili Powder,Apple,Biscuits,Rice,Salt,,,,
Cabbage,Cauliflower,Coffee Powder,Pickle,Yogurt,Bread,,,,,,
Brinjal,Turmeric Powder,Tamarind,Honey,Mint Leaves,Wheat Flour,Guava,Fenugreek Leaves,Potato,Lemon,Cauliflower,
Spinach,Curd,Tamarind,Yogurt,Bell Peppers,Guava,Mint Leaves,Jam,,,,
Bell Peppers,Green Chili,Bread,Okra,Orange,Pickle,Curd,Rice,Semolina,Brinjal,Coriander,Paneer
Jam,Brinjal,Butter,Mango,Besan,Beetroot,Tomato,Coffee Powder,Honey,,,
Coffee Powder,Pickle,Cooking Oil,Coriander,Bread,,,,,,,
Wheat Flour,Tamarind,Potato,Jam,Dals,Mustard Seeds,Mint Leaves,Pomegranate,Milk,Chili Powder,,
Cumin Seeds,Butter,Pomegranate,Ginger,Pickle,Tamarind,Cheese,Turmeric Powder,,,,
Dals,Tamarind,Mustard Seeds,Garlic,Green Chili,Honey,Apple,Sugar,Mint Leaves,Bell Peppers,,
Mustard Seeds,Lassi,Brinjal,Milk,Paneer,Spinach,Coconut,Cheese,Biscuits,,,
Pickle,Tea Powder,Garlic,Coffee Powder,Ginger,Banana,Pomegranate,Curd,,,,
Tea Powder,Semolina,Cumin Seeds,Apple,Capsicum,Salt,Tomato,Honey,,,,
Tea Powder,Bread,Apple,Jam,Mint Leaves,Pickle,Carrot,Banana,Biscuits,Spinach,Honey,
Onions,Banana,Cooking Oil,Bell Peppers,Okra,Salt,Dals,Bread,Chili Powder,Tea Powder,Fenugreek Leaves,Sugar
Honey,Coffee Powder,Orange,Potato,Coriander,Salt,,,,,,
Bread,Fenugreek Leaves,Carrot,Biscuits,Guava,Coffee Powder,Cooking Oil,Green Chili,Cauliflower,,,
Tamarind,Banana,Guava,Paneer,Pomegranate,Coconut,Fenugreek Leaves,Curd,Mint Leaves,Ginger,,
Chili Powder,Pickle,Wheat Flour,Beetroot,Guava,Green Chili,Tamarind,Onions,,,,
Spinach,Cauliflower,Apple,Yogurt,Bread,Curd,Besan,Green Chili,Pickle,Jam,Cooking Oil,Coriander
Beetroot,Semolina,Chili Powder,Ginger,Coriander,Sooji,,,,,,
Carrot,Potato,Curd,Jam,Mint Leaves,Mango,Spinach,Yogurt,Butter,,,
Onions,Dals,Cabbage,Mustard Seeds,Honey,Butter,,,,,,
Garlic,Jam,Bell Peppers,Cheese,Milk,,,,,,,
Bread,Spinach,Potato,Fenugreek Leaves,Garlic,Apple,Curd,Orange,Rice,Onions,Coconut,Beetroot
Dals,Milk,Green Chili,Besan,Carrot,,,,,,,
Sugar,Banana,Pomegranate,Paneer,Apple,Mango,,,,,,
Bell Peppers,Lemon,Papaya,Carrot,Turmeric Powder,Cheese,Coffee Powder,Guava,Banana,Lassi,Potato,Spinach
Yogurt,Paneer,Papaya,Coffee Powder,Milk,Lassi,Semolina,,,,,
Milk,Mango,Tomato,Garlic,Coffee Powder,,,,,,,
Guava,Brinjal,Papaya,Apple,Milk,Cheese,Tomato,,,,,
Honey,Okra,Mango,Semolina,Besan,Cabbage,Green Chili,Jam,,,,
Besan,Cooking Oil,Sooji,Apple,Pomegranate,,,,,,,
Fenugreek Leaves,Brinjal,Ginger,Sooji,Paneer,Guava,Okra,,,,,
Lassi,Sugar,Okra,Pickle,Cumin Seeds,Sooji,Mustard Seeds,Ginger,,,,
Lemon,Butter,Milk,Sooji,Capsicum,Coffee Powder,,,,,,
Sugar,Tamarind,Beetroot,Bell Peppers,Tomato,,,,,,,
Cabbage,Mango,Onions,Beetroot,Lemon,Garlic,Sugar,Biscuits,Butter,Cauliflower,Coffee Powder,Lassi
Pomegranate,Okra,Capsicum,Dals,Onions,Sugar,Pickle,Green Chili,Papaya,Yogurt,Cabbage,Brinjal
Brinjal,Mint Leaves,Capsicum,Cheese,Onions,Ginger,Besan,Sugar,Okra,Cauliflower,Jam,Butter
Rice,Honey,Brinjal,Tea Powder,Cheese,Mango,Dals,,,,,
Tea Powder,Dals,Yogurt,Chili Powder,Mango,Onions,Sugar,Beetroot,Jam,Semolina,,
Orange,Coconut,Green Chili,Lassi,Milk,Papaya,Fenugreek Leaves,Pickle,Sooji,Paneer,Wheat Flour,Biscuits
Cabbage,Tomato,Okra,Biscuits,Papaya,Pomegranate,Butter,Mustard Seeds,,,,
Okra,Turmeric Powder,Orange,Beetroot,Cheese,Green Chili,Ginger,Potato,Jam,Honey,Coriander,Lemon
Dals,Cauliflower,Coffee Powder,Honey,Beetroot,Curd,Mint Leaves,Mango,Tea Powder,,,
Pickle,Cauliflower,Semolina,Sooji,Onions,Beetroot,Guava,Apple,Coconut,,,
Orange,Lassi,Cumin Seeds,Carrot,Milk,Besan,Apple,Curd,,,,
Paneer,Tamarind,Ginger,Pickle,Wheat Flour,Brinjal,,,,,,
Turmeric Powder,Paneer,Semolina,Brinjal,Cumin Seeds,Orange,Salt,Cooking Oil,Spinach,Carrot,Curd,Milk
Mustard Seeds,Cheese,Biscuits,Cooking Oil,Garlic,Bread,Potato,,,,,
Coriander,Garlic,Tomato,Cumin Seeds,Bell Peppers,Beetroot,Mint Leaves,Cauliflower,Lassi,Chili Powder,Biscuits,Brinjal
Tomato,Wheat Flour,Semolina,Biscuits,Pomegranate,Green Chili,Cauliflower,Jam,Yogurt,Onions,Orange,
Chili Powder,Biscuits,Beetroot,Papaya,Tamarind,Green Chili,Potato,Coconut,Cheese,,,
Turmeric Powder,Cooking Oil,Mint Leaves,Lemon,Biscuits,Banana,Rice,,,,,
Bread,Spinach,Orange,Yogurt,Green Chili,Bell Peppers,Biscuits,Coriander,Banana,Sugar,Semolina,
Chili Powder,Paneer,Lassi,Bell Peppers,Carrot,Cheese,,,,,,
